ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
WMT,Walmart Inc.,,2011,,10-Q,2011-12-08,2011-10-31,323781.0,,,18157.0,10536.0,3.03,3.02,195039.0,59271.0,,67339.0,67163.0,12914.0,,,3.25,5.61,0.88,
WMT,Walmart Inc.,,2010,,10-K,2011-03-30,2009-07-31,100168.0,,,,3472.0,0.89,0.89,,,,,,,,,3.47,,,
WMT,Walmart Inc.,,2010,,10-K,2011-03-30,2010-07-31,103016.0,,,,3596.0,0.97,0.97,,,,,,,,,3.49,,,
WMT,Walmart Inc.,,2010,,10-K,2011-03-30,2009-10-31,98667.0,,,,3144.0,0.82,0.81,,,,,,,,,3.19,,,
WMT,Walmart Inc.,,2010,,10-K,2011-03-30,2009-04-30,93471.0,,,,2996.0,0.76,0.76,,,,,,,,,3.21,,,
WMT,Walmart Inc.,,2010,,10-K,2011-03-30,2010-04-30,99097.0,,,,3301.0,0.88,0.87,,,,,,,,,3.33,,,
WMT,Walmart Inc.,,2010,,10-Q,2010-06-04,2009-04-30,94242.0,,,5217.0,3022.0,0.77,0.77,162090.0,47746.0,,56399.0,62231.0,3571.0,,,3.21,5.54,0.85,
WMT,Walmart Inc.,,2010,,10-Q,2010-06-04,2010-04-30,99848.0,,,5772.0,3324.0,0.88,0.88,174371.0,51674.0,,64512.0,66329.0,973.0,,,3.33,5.78,0.8,
WMT,Walmart Inc.,,2010,,10-Q,2010-12-06,2010-10-31,305489.0,,,17538.0,10333.0,2.8,2.79,186890.0,59568.0,,68407.0,65525.0,12265.0,,,3.38,5.74,0.87,
WMT,Walmart Inc.,,2009,,10-K,2010-03-30,2008-01-31,377023.0,,,21952.0,12731.0,3.13,3.13,,,,,,20642.0,,,3.38,5.82,,
WMT,Walmart Inc.,,2009,,10-K,2010-03-30,2009-01-31,404374.0,,,22798.0,13400.0,3.4,3.39,163429.0,48949.0,,55390.0,65285.0,23147.0,,,3.31,5.64,0.88,
WMT,Walmart Inc.,,2009,,10-K,2010-03-30,2010-01-31,408214.0,,,23950.0,14335.0,3.71,3.7,170706.0,48331.0,,55561.0,70749.0,26249.0,,,3.51,5.87,0.87,
WMT,Walmart Inc.,,2009,,10-Q,2009-09-09,2008-07-31,197282.0,,,11130.0,6471.0,1.64,1.63,166895.0,49774.0,,54929.0,66793.0,10164.0,,,3.28,5.64,0.91,
WMT,Walmart Inc.,,2009,,10-Q,2009-09-09,2009-07-31,195152.0,,,11099.0,6464.0,1.66,1.65,168942.0,49025.0,,57196.0,67008.0,9895.0,,,3.31,5.69,0.86,
WMT,Walmart Inc.,,2009,,10-Q,2009-12-08,2009-10-31,294563.0,,,16692.0,9703.0,2.5,2.49,172934.0,51948.0,,59179.0,67688.0,12440.0,,,3.29,5.67,0.88,
WMT,Walmart Inc.,,2009,,10-Q,2009-12-08,2008-10-31,295627.0,,,16421.0,9608.0,2.44,2.43,167843.0,53093.0,,60624.0,65539.0,10426.0,,,3.25,5.55,0.88,
