ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
MSFT,Microsoft Corp,,2015,,10-K,2015-07-31,2015-03-31,21729.0,,,,4985.0,0.61,0.61,,,,,,,,,22.94,,,
MSFT,Microsoft Corp,,2015,,10-K,2015-07-31,2014-12-31,26470.0,,,,5863.0,0.71,0.71,,,,,,,,,22.15,,,
MSFT,Microsoft Corp,,2015,,10-K,2015-07-31,2013-09-30,18529.0,,,,5244.0,0.63,0.62,,,,,,,,,28.3,,,
MSFT,Microsoft Corp,,2015,,10-Q,2015-01-26,2013-12-31,43048.0,,,14303.0,11802.0,1.42,1.4,,,,,85100.0,,,,27.42,33.23,,
MSFT,Microsoft Corp,,2015,,10-Q,2015-01-26,2014-12-31,49671.0,,,13620.0,10403.0,1.26,1.25,174848.0,116362.0,82969.0,47415.0,91879.0,,,,20.94,27.42,2.45,47.45
MSFT,Microsoft Corp,,2015,,10-Q,2015-04-23,2014-03-31,63451.0,,,21277.0,17462.0,2.1,2.08,,,,,87424.0,,,,27.52,33.53,,
MSFT,Microsoft Corp,,2015,,10-Q,2015-04-23,2015-03-31,71400.0,,,20214.0,15388.0,1.87,1.86,176683.0,118398.0,86551.0,40748.0,90132.0,,,,21.55,28.31,2.91,48.99
MSFT,Microsoft Corp,,2014,,10-K,2014-07-31,2012-09-30,16008.0,,,,4466.0,0.53,0.53,,,,,,,,,27.9,,,
MSFT,Microsoft Corp,,2014,,10-Q,2013-10-24,2013-09-30,18529.0,,,6334.0,5244.0,0.63,0.62,142348.0,99450.0,60707.0,34623.0,81641.0,,,,28.3,34.18,2.87,42.65
MSFT,Microsoft Corp,,2013,,10-K,2013-07-30,2013-03-31,20489.0,,,,6055.0,0.72,0.72,,,,,,,,,29.55,,,
MSFT,Microsoft Corp,,2013,,10-K,2013-07-30,2012-12-31,21456.0,,,,6377.0,0.76,0.76,,,,,,,,,29.72,,,
MSFT,Microsoft Corp,,2013,,10-K,2013-07-30,2011-06-30,69943.0,,,27161.0,23150.0,2.73,2.69,,,,,57083.0,26994.0,,,33.1,38.83,,
MSFT,Microsoft Corp,,2013,,10-K,2013-07-30,2012-06-30,73723.0,,,21763.0,16978.0,2.02,2.0,121271.0,85084.0,54908.0,32688.0,66363.0,31626.0,,,23.03,29.52,2.6,45.28
MSFT,Microsoft Corp,,2013,,10-K,2013-07-30,2011-12-31,20885.0,,,,6624.0,0.79,0.78,,,,,,,,,31.72,,,
MSFT,Microsoft Corp,,2013,,10-Q,2013-01-24,2011-12-31,38257.0,,,15197.0,12362.0,1.47,1.46,,,,,64121.0,14355.0,,,32.31,39.72,,
MSFT,Microsoft Corp,,2013,,10-Q,2012-10-18,2012-09-30,16008.0,,,5308.0,4466.0,0.53,0.53,121876.0,84051.0,53040.0,31402.0,68836.0,8484.0,,,27.9,33.16,2.68,43.52
MSFT,Microsoft Corp,,2013,,10-Q,2013-04-18,2013-03-31,57953.0,,,20691.0,16898.0,2.02,1.99,134105.0,93524.0,57417.0,31929.0,76688.0,22930.0,,,29.16,35.7,2.93,42.81
MSFT,Microsoft Corp,,2013,,10-Q,2013-01-24,2012-12-31,37464.0,,,13079.0,10843.0,1.29,1.28,128683.0,89574.0,56107.0,31910.0,72576.0,13264.0,,,28.94,34.91,2.81,43.6
